,quality
937,0
73,0
740,0
278,1
1545,0
707,0
150,0
987,0
1410,0
1180,0
1550,0
1549,1
860,0
608,0
24,0
182,0
516,0
1552,0
321,0
115,0
285,0
1342,0
931,0
798,0
1190,0
392,0
315,0
640,0
1429,0
663,0
1149,0
57,0
1478,0
1513,0
753,0
1559,0
1423,0
137,0
400,0
311,0
351,0
387,0
1515,0
244,1
26,0
625,0
842,0
67,0
671,0
991,0
604,0
1484,0
970,0
32,0
759,0
986,1
609,0
923,0
28,0
744,0
1460,0
196,0
7,1
389,1
340,0
468,0
1582,0
394,0
763,0
3,0
585,0
25,0
433,0
357,1
727,0
615,0
120,0
1170,0
577,0
680,0
1495,0
1519,0
506,1
1261,0
1008,1
872,0
20,0
352,0
756,0
422,0
1577,0
1034,0
330,0
581,0
1214,0
409,0
238,0
373,0
411,0
981,0
593,0
1310,0
1557,0
1510,0
1503,0
906,0
406,0
1130,0
1143,0
1532,0
375,1
261,0
171,0
917,0
1071,0
99,0
1390,0
1436,0
1333,0
698,0
597,0
489,0
431,0
30,0
1595,0
1257,0
1497,0
492,1
85,0
1471,0
1193,0
353,0
359,0
618,0
266,0
936,0
1350,0
1458,0
714,0
957,0
731,0
1306,0
627,0
447,0
848,0
1435,0
337,0
530,0
1363,0
1239,0
256,0
948,1
975,0
218,0
109,0
224,0
518,0
1100,0
213,0
347,0
790,0
1548,0
225,0
527,0
478,0
750,0
1011,0
1344,0
1508,0
1364,0
1535,0
1465,0
1379,0
1109,0
133,0
509,1
666,0
672,0
997,1
834,0
1094,0
547,0
21,0
871,0
1487,0
451,0
153,0
1196,0
650,0
1267,0
329,0
497,0
1583,0
541,0
459,0
882,0
690,0
1305,0
785,0
830,0
998,0
928,0
1475,1
77,0
1514,0
111,0
201,0
131,0
930,0
250,0
193,0
1500,0
1531,0
149,0
729,0
202,0
1273,0
346,1
984,0
1391,0
9,0
960,0
165,0
475,0
1026,0
1252,0
108,0
276,0
762,0
1200,0
909,0
1382,0
1413,0
1589,0
1585,0
966,1
1266,0
1062,0
136,0
103,0
1241,0
1002,1
313,0
48,0
1511,0
903,1
1227,0
50,0
427,0
1195,0
206,1
1322,0
1069,0
135,0
613,0
500,0
751,0
946,1
333,0
480,0
1444,0
647,0
304,0
867,0
1407,0
305,0
247,0
181,0
267,1
382,0
1028,0
1041,0
705,0
155,0
116,0
92,0
1383,0
814,0
735,0
259,1
844,0
1530,0
767,0
4,0
286,0
365,0
376,0
880,0
1354,0
1434,0
1300,0
873,1
692,0
404,0
642,0
95,0
1584,1
1546,0
369,1
602,0
1553,0
1175,0
504,1
1053,1
47,0
1133,1
168,0
1014,0
533,0
61,0
868,0
38,0
179,0
424,0
1166,0
124,0
253,0
114,0
939,0
626,0
588,1
1237,0
764,0
1597,0
1370,0
1240,0
1385,0
571,0
781,0
55,0
1059,1
963,0
958,1
417,0
1032,0
665,0
1185,0
649,0
1316,0
1052,0
51,0
1065,0
673,0
827,0
840,1
560,0
235,0
163,0
791,0
907,0
555,0
1398,1
696,0
836,1
1442,0
995,0
1400,0
628,0
445,0
1038,1
1397,0
245,0
292,0
1068,1
1289,0
1533,0
1297,0
88,0
81,0
1102,0
610,0
1179,0
343,0
739,0
1555,1
595,0
1172,0
979,0
453,1
284,0
127,0
574,0
390,1
787,0
1122,0
521,0
1253,0
1215,0
799,0
826,1
838,1
760,0
684,0
515,0
1396,0
1372,0
648,1
398,0
1470,0
1542,0
769,0
1312,0
1313,0
128,1
1183,0
578,0
542,0
1401,0
687,0
174,0
220,0
1114,0
1459,1
1337,0
1418,0
1132,1
710,0
1321,0
920,0
531,0
33,0
378,0
40,0
1106,0
1524,0
1388,0
1160,1
944,1
197,0
850,0
539,0
1246,0
178,0
956,0
290,1
1380,0
239,0
1541,1
138,0
683,0
144,0
1103,0
1153,0
1586,0
1018,0
1127,0
345,0
591,0
757,0
1256,0
293,0
1374,0
974,1
66,0
84,0
932,0
31,0
1084,0
505,1
98,0
437,0
598,0
1452,1
1490,0
1104,0
8,1
70,0
717,0
1579,0
156,0
113,0
1502,0
1326,0
1554,0
219,0
899,0
1543,0
519,0
916,0
110,0
773,0
1387,0
391,0
466,0
800,0
1594,0
862,0
1505,0
869,0
546,0
1328,0
988,0
1197,0
1341,0
864,0
901,1
1129,0
563,0
934,0
141,0
631,0
1307,0
177,0
377,1
428,0
1066,1
91,0
1074,0
426,0
296,0
75,0
62,1
818,0
1479,0
617,0
590,0
1078,0
738,0
1159,0
160,0
1260,0
289,0
992,0
69,0
173,0
643,0
396,0
1161,0
513,1
1088,1
200,1
511,0
1501,0
350,0
1211,0
429,0
222,0
646,0
732,0
846,0
1001,1
231,0
123,0
1403,1
856,0
1163,0
1003,1
1098,1
273,0
1284,0
1509,0
1194,0
743,0
669,0
483,0
324,0
1494,1
747,0
562,0
525,0
344,0
1567,0
334,1
685,0
268,0
972,1
37,1
712,0
1045,0
418,0
1294,0
1308,0
728,0
1473,0
1290,0
1292,0
1031,1
953,1
967,0
808,0
118,0
1346,0
681,0
1299,0
86,0
724,0
876,0
